Category,Subcategory,Name,Link,Notes
Tools and Resources,Business Tool,Stripe Atlas,https://stripe.com/atlas,"""With Stripe Atlas, entrepreneurs can easily incorporate a U.S. company, set up a U.S. bank account, and start accepting payments with Stripe."""
Tools and Resources,Community,Hackathon Hackers,https://www.facebook.com/groups/hackathonhackers/,"Facebook group of over 50,000 members interested in Hackathons, computer science, tech and start ups. Mostly high school and college students."
Tools and Resources,Community,Forward Investor,https://www.facebook.com/groups/forwardinvestor/,"Highly curated and controlled Facebook group focused on sharing finance and markets new, including talk around startups and venture capital. Mostly young people under 25."
Tools and Resources,Business Tool,Business Model Canvas,https://strategyzer.com/canvas/business-model-canvas,Business Model Canvas is a way to quickly understand the key components and aspects of any venture.
Tools and Resources,Community,Product Manager HQ,https://www.productmanagerhq.com/join-the-community/,Slack Group with almost 2000 product managers and aspiring product managers. Cost $25 to join.
Tools and Resources,Learn Programming,Codeacademy,https://www.codecademy.com/,One of the most beginner friendly ways to learn programming. Has greatly improved over the years. Now offers ability to pay for a monthly subscription that gives you access to a mentor via live chat. Useful for people who learn by asking lots of questions.
Tools and Resources,Learn Programming,Michael Hartls Ruby on Rails Tutorial,https://www.railstutorial.org/book,One of the best resources to learn Ruby on Rails if you have a bit of prior programming experience with Ruby or another language. The book is available for free online and guides you to building a Twitter clone. Ruby on Rails is a great choice if you're interested in building web apps quickly.
Tools and Resources,Learn Programming,The Coding Train,https://www.youtube.com/user/shiffman,"Daniel Shiffman might be the most engaging YouTube teacher on the internet! Extremely engaging and fun YouTube videos teaching things like processing, a JavaScript library for visualizations, and other things like how to use an API or learning programming fundamentals. "
Tools and Resources,Learn Programming,Ninja Net,https://www.youtube.com/channel/UCW5YeuERMmlnqo4oq8vwUpg,Great YouTube channel to learn NodeJs from scratch after learning JavaScript.
Tools and Resources,Learn Programming,LinkedIn Learning / Lynda,https://www.linkedin.com/learning/,"High quality online courses on all sorts of topics including JavaScript, NodeJs, C, etc. Requires a subscription ($30). Many universities offer students a subscription to Lynda.com so check if your university offers it."
Tools and Resources,Learn Programming,Coursera,https://www.coursera.org/,One of the top online course providers. Free to take classes from top universities across the world!
Tools and Resources,Learn Programming,edX,https://www.edx.org/,One of the top online course providers. Free to take classes from top universities across the world!
Tools and Resources,Learn Programming,Udemy,https://www.udemy.com/courses/,Hundred of courses from instructors on all topics. Usually costs money but lots of promos floating on the internet to make courses cheap or free. 
Tools and Resources,Learn Programming,Udacity,https://www.udacity.com/,Online classes for free. Also offers Nano degrees (e.g. Artificial Intelligence) that offer guaranteed jobs if you complete them.
Tools and Resources,Learn Programming,TreeHouse,https://teamtreehouse.com/,Same at LinkedIn Learning. High quality online courses. Some universities offer free subscriptions so check if your university does.
Tools and Resources,Reference,Product Hunt,https://www.producthunt.com/,Useful site to stay up to date with new products being released. Very engaged community of builders.
Tools and Resources,Reference,AngelList,https://angel.co/,Useful site to learn about specific start ups and find start up jobs.
Tools and Resources,Reference,CrunchBase,https://www.crunchbase.com/,"Should be your first resource to learn about a specific start up since it tells you basic information like what the company does, the team, founding date and any funding. "
Tools and Resources,Learn Programming,Free Code Camp,https://www.freecodecamp.com/,Learn JavaScript for free. Learn everything you need to become good enough to get a job in either backend or front end programming. Work on projects for non-profits. Lots of people have had success getting hired as a junior developer after going through Free Code Camp. There are also Free Code Camp groups in many cities where people work together and hold themselves accountable.
Tools and Resources,Learn Programming,JavaScript30,https://javascript30.com/,30-Day challenge to program in vanilla JavaScript. Wes Bos is a boss and his tutorials are great.
Tools and Resources,Business Tool,Squarespace Student Discount,https://www.squarespace.com/students/,50% off for students. Ends up being $72 if paid annually. 
Tools and Resources,Business Tool,Amazon Prime 6 Month Free Trial,http://a.co/2Gs9CTF,"Amazon Prime 6 month free membership, $49.99 after that. Disclosure: the link is a referral link from my account where I get $10 if anyone signs up! (I imagine most people already know about this though.)"
Tools and Resources,Blog,Marc Andreessen,http://blog.pmarca.com/,"Archived writings of Marc Andreessen, co-founder of Netscape and partner at Andreessen Horowitz."
Tools and Resources,Blog,Paul Graham,http://www.paulgraham.com/articles,"One of the founders of YCombinator. His essays are great reading material and reflect a lot of the thinking in Silicon Valley regarding growth, start ups, and tech."
Tools and Resources,Blog,Fred Wilson,http://avc.com/,"Well known NYC VC who regularly shares his thoughts on all things startups, tech and venture capital."
Tools and Resources,Blog,Sam Altman,http://blog.samaltman.com/,President of YCombinator. Shares thoughts on startups and tech.
Tools and Resources,Blog,Mark Suster,https://bothsidesofthetable.com/,Prominent entrepreneur turned VC who shares his thoughts. 
Tools and Resources,Reference,Breakout List,https://breakoutlist.com/,List of companies considered to be on the verge of commercial success. Considered good places to start a career to learn.
Tools and Resources,Blog,Stratechery,https://stratechery.com/,Probably the most insightful media and tech strategy content on the internet. Must read for understanding tech trends from a consumer and business model perspective. 
Tools and Resources,Blog,The Hustle,http://thehustle.co/,Digestible daily news delivered via email. Heavy focus on tech and entrepreneurship. 
Tools and Resources,Blog,a16z,http://a16z.com/,Thoughts from one of the most prominent venture capital firms in Silicon Valley. Podcast discusses new technologies and trends. 
Tools and Resources,Community,FLOW Empowering Students,https://www.facebook.com/groups/Flow.makemeflow/,Facebook group filled with young people sharing interesting opportunities. Large portion of group members are based in India but lots of valuable opportunities with like-minded entrepreneurial people.
Tools and Resources,Business Tool,Namecheap Free .me Domain,https://nc.me/,"Free .me domain from namecheap. Usually given out at hackathons. First year is free, cost money afterwards."
Tools and Resources,Blog,How to Start a Startup,http://startupclass.samaltman.com/,"Series of 20 online lectures that deliver the gist of the content and advice given to YC participants - taught by people like Paul Graham, Reid Hoffman, etc. "
